INSTITUCIÓN/SEDE/FRENTE DE TRABAJO;CLIENTE;CONTRATO INTERADMINISTRATIVO;PROYECTO;SUBPROYECTO;AÑO CTO;CONTRATO;COMUNA;TIPOLOGÍA;ESTADO;F_INICIO;"PLAZO(DÍAS)";"PRÓRROGAS(DÍAS)";"SUSPENSIONES(DÍAS)";TIEMPO TOTAL;F_FINAL;PLAZO REMANENTE;VALOR INICIAL OBRA;ADICIONES;BALANCES O REDISTRIBUCIONES;VALOR ACTUAL DEL CONTRATO;VALOR ACTUAL REAJUSTES ;VALOR ACTUAL IMPREVISTOS; VALOR ACTUAL CONTINGENCIAS ;VALOR TOTAL CONTRATO+AJUSTES+IMPREVISTOS; PAGADO_CONTRATO ; PAGADO_REAJUSTES ; PAGADO_IMPREV ;" DESCUENTOS(Informativo) ";VALOR PAGADO; FECHA ÚLTIMO PAGO ; %PAGADO ;%PRG; %FISICO_PRG ;%EJEC; %FISICO_EJEC ;%DESVÍO;%PRG_$;%EJEC_$;%DESVÍO_$;SUPERVISOR;APOYO;CONTRATO/PROYECTO
INSTITUCION EDUCATIVA MAESTRO FERNANDO BOTERO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-228;06 DOCE DE OCTUBRE;Obra;En ejecución;28/08/2024;120;;;120;25/12/2024;23,00; $ 718.212.126 ;;; $ 718.212.126 ;; $ 10.502.768 ;; $ 728.714.894 ; $ 100.070.821 ;;;; $ 100.070.821 ;25/10/2024;13,73%;58,02%; $ 0 ;70,46%; $ 513.452.514 ;12,44%;58,10%;70,72%;12,62%;YUDY ALEXANDRA MARULANDA AGUDELO;ANA MARÍA SÁCHICA PÉREZ;
SECCION CONCENTRACION EDUCATIVA KENNEDY;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-228;06 DOCE DE OCTUBRE;Obra;En ejecución;02/09/2024;120;;;120;30/12/2024;28,00; $ 886.981.967 ;;; $ 886.981.967 ;; $ 13.060.616 ;; $ 900.042.583 ; $ 118.716.143 ;;;; $ 118.716.143 ;25/10/2024;13,19%;52,14%; $ 0 ;20,46%; $ 184.148.712 ;-31,68%;51,22%;20,75%;-30,47%;YUDY ALEXANDRA MARULANDA AGUDELO;ANA MARÍA SÁCHICA PÉREZ;
SECCION ESCUELA AGRUPACION COLOMBIA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-237;11 LAURELES ESTADIO;Obra;En ejecución;30/09/2024;30;;;30;29/10/2024;0,00; $ 68.842.888 ;;; $ 68.842.888 ;; $ 728.555 ;; $ 69.571.443 ; $ 2.260.387 ;;;; $ 2.260.387 ;;3,25%;61,29%; $ 42.640.337 ;38,00%; $ 26.437.148 ;-23,29%;61,29%;19,11%;-42,18%;YUDY ALEXANDRA MARULANDA AGUDELO;BEATRIZ JANELLE BUSTOS DUQUE;
SECCION ESCUELA CARLOS OBANDO VELASCO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-237;11 LAURELES ESTADIO;Obra;En ejecución;06/09/2024;30;;;30;05/10/2024;0,00; $ 113.143.144 ;;; $ 113.143.144 ;; $ 1.378.428 ;; $ 114.521.572 ; $ 96.059.896 ;;;; $ 96.059.896 ;;83,88%;100,00%; $ 114.521.572 ;100,00%; $ 114.521.572 ;0,00%;100,00%;94,33%;-5,67%;YUDY ALEXANDRA MARULANDA AGUDELO;BEATRIZ JANELLE BUSTOS DUQUE;
SECCION ESCUELA CUARTA BRIGADA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-237;11 LAURELES ESTADIO;Obra;En ejecución;16/09/2024;60;;;60;14/11/2024;0,00; $ 165.786.506 ;;; $ 165.786.506 ;; $ 2.131.747 ;; $ 167.918.253 ; $ 8.961.463 ;;;; $ 8.961.463 ;;5,34%;88,00%; $ 147.768.063 ;54,00%; $ 90.675.857 ;-34,00%;98,00%;48,07%;-49,93%;YUDY ALEXANDRA MARULANDA AGUDELO;BEATRIZ JANELLE BUSTOS DUQUE;
INSTITUCION EDUCATIVA BENEDIKTA ZUR NIEDEN;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-237;12 LA AMERICA;Obra;En ejecución;16/09/2024;60;;;60;14/11/2024;0,00; $ 109.391.114 ;;; $ 109.391.114 ;; $ 1.304.443 ;; $ 110.695.557 ; $ 4.519.049 ;;;; $ 4.519.049 ;;4,08%;99,00%; $ 109.588.601 ;81,00%; $ 89.663.401 ;-18,00%;96,00%;59,60%;-36,40%;YUDY ALEXANDRA MARULANDA AGUDELO;BEATRIZ JANELLE BUSTOS DUQUE;
INSTITUCION EDUCATIVA CONCEJO DE MEDELLIN;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-237;12 LA AMERICA;Obra;En ejecución;02/09/2024;60;;;60;31/10/2024;0,00; $ 342.148.859 ;;; $ 342.148.859 ;; $ 4.675.570 ;; $ 346.824.429 ; $ 257.029.656 ;;;; $ 257.029.656 ;;74,11%;100,00%; $ 346.824.429 ;100,00%; $ 346.824.429 ;0,00%;100,00%;89,76%;-10,24%;YUDY ALEXANDRA MARULANDA AGUDELO;BEATRIZ JANELLE BUSTOS DUQUE;
INSTITUCION EDUCATIVA LA PIEDAD;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-237;12 LA AMERICA;Obra;En ejecución;09/09/2024;60;;;60;07/11/2024;0,00; $ 174.481.403 ;;; $ 174.481.403 ;; $ 2.259.298 ;; $ 176.740.701 ; $ 20.820.456 ;;;; $ 20.820.456 ;;11,78%;100,00%; $ 176.740.701 ;46,00%; $ 81.300.722 ;-54,00%;100,00%;36,35%;-63,65%;YUDY ALEXANDRA MARULANDA AGUDELO;BEATRIZ JANELLE BUSTOS DUQUE;
INSTITUCION EDUCATIVA SAMUEL BARRIENTOS;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-237;12 LA AMERICA;Obra;En ejecución;16/09/2024;60;;;60;14/11/2024;0,00; $ 118.134.587 ;;; $ 118.134.587 ;; $ 1.432.706 ;; $ 119.567.293 ; $ 84.482.715 ;;;; $ 84.482.715 ;;70,66%;100,00%; $ 119.567.293 ;100,00%; $ 119.567.293 ;0,00%;100,00%;96,16%;-3,84%;YUDY ALEXANDRA MARULANDA AGUDELO;BEATRIZ JANELLE BUSTOS DUQUE;
SECCION ESCUELA CLODOMIRO RAMIREZ;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-237;12 LA AMERICA;Obra;En ejecución;16/09/2024;60;;;60;14/11/2024;0,00; $ 97.733.154 ;;; $ 97.733.154 ;; $ 1.133.423 ;; $ 98.866.577 ; $ 19.707.462 ;;;; $ 19.707.462 ;;19,93%;91,00%; $ 89.968.585 ;54,00%; $ 53.387.952 ;-37,00%;78,00%;55,42%;-22,58%;YUDY ALEXANDRA MARULANDA AGUDELO;BEATRIZ JANELLE BUSTOS DUQUE;
SECCION ESCUELA PEDRO DE CASTRO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-237;12 LA AMERICA;Obra;En ejecución;06/09/2024;90;;;90;04/12/2024;2,00; $ 395.708.880 ;;; $ 395.708.880 ;; $ 5.464.030 ;; $ 401.172.910 ; $ 124.523.690 ;;;; $ 124.523.690 ;;31,04%;97,00%; $ 389.137.723 ;57,50%; $ 230.674.423 ;-39,50%;89,00%;59,71%;-29,29%;YUDY ALEXANDRA MARULANDA AGUDELO;BEATRIZ JANELLE BUSTOS DUQUE;
SECCION ESCUELA RAFAEL URIBE URIBE;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-237;12 LA AMERICA;Obra;En ejecución;16/09/2024;60;;;60;14/11/2024;0,00; $ 161.690.231 ;;; $ 161.690.231 ;; $ 2.172.204 ;; $ 163.862.435 ; $ 19.094.501 ;;;; $ 19.094.501 ;;11,65%;100,00%; $ 163.862.435 ;64,00%; $ 104.871.958 ;-36,00%;100,00%;73,43%;-26,57%;YUDY ALEXANDRA MARULANDA AGUDELO;BEATRIZ JANELLE BUSTOS DUQUE;
SECCION ESCUELA SANTA LUCIA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-237;12 LA AMERICA;Obra;En ejecución;09/09/2024;90;;;90;07/12/2024;5,00; $ 288.230.585 ;;; $ 288.230.585 ;; $ 3.884.707 ;; $ 292.115.292 ; $ 30.946.831 ;;;; $ 30.946.831 ;;10,59%;90,00%; $ 262.903.763 ;57,00%; $ 166.505.716 ;-33,00%;94,00%;47,66%;-46,34%;YUDY ALEXANDRA MARULANDA AGUDELO;BEATRIZ JANELLE BUSTOS DUQUE;
INSTITUCION EDUCATIVA BARRIO SAN NICOLÁS;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-247;01 POPULAR;Obra;En ejecución;30/09/2024;90;;;90;28/12/2024;26,00; $ 353.905.508 ;;; $ 353.905.508 ;; $ 4.972.243 ;; $ 358.877.751 ;;;;; $ - ;;0,00%;0,00%; $ - ;0,00%; $ - ;0,00%;0,00%;0,00%;0,00%;JUAN ESTEBAN IDARRAGA;JUAN ESTEBAN IDARRAGA;
INSTITUCION EDUCATIVA FE Y ALEGRÍA GRANIZAL;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-247;01 POPULAR;Obra;En ejecución;30/09/2024;60;;;60;28/11/2024;0,00; $ 125.780.122 ;;; $ 125.780.122 ;; $ 1.609.938 ;; $ 127.390.060 ;;;;; $ - ;;0,00%;0,00%; $ - ;0,00%; $ - ;0,00%;0,00%;0,00%;0,00%;JUAN ESTEBAN IDARRAGA;JUAN ESTEBAN IDARRAGA;
SECCION ESCUELA DIVINA PROVIDENCIA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-247;01 POPULAR;Obra;En ejecución;30/09/2024;90;;;90;28/12/2024;26,00; $ 367.741.997 ;;; $ 367.741.997 ;; $ 5.179.001 ;; $ 372.920.998 ;;;;; $ - ;;0,00%;0,00%; $ - ;0,00%; $ - ;0,00%;0,00%;0,00%;0,00%;JUAN ESTEBAN IDARRAGA;JUAN ESTEBAN IDARRAGA;
SECCION ESCUELA FE Y ALEGRÍA GRANIZAL;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-247;01 POPULAR;Obra;En ejecución;30/09/2024;30;;;30;29/10/2024;0,00; $ 51.224.473 ;;; $ 51.224.473 ;; $ 512.763 ;; $ 51.737.236 ;;;;; $ - ;;0,00%;0,00%; $ - ;0,00%; $ - ;0,00%;0,00%;0,00%;0,00%;JUAN ESTEBAN IDARRAGA;JUAN ESTEBAN IDARRAGA;
SECCION ESCUELA FE Y ALEGRÍA POPULAR No. 2;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-247;01 POPULAR;Obra;En ejecución;30/09/2024;150;;;150;26/02/2025;86,00; $ 758.929.101 ;;; $ 758.929.101 ;; $ 10.985.449 ;; $ 769.914.550 ;;;;; $ - ;;0,00%;0,00%; $ - ;0,00%; $ - ;0,00%;0,00%;0,00%;0,00%;JUAN ESTEBAN IDARRAGA;JUAN ESTEBAN IDARRAGA;
SECCION ESCUELA GRACIELA JIMÉNEZ BUSTAMANTE;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-247;01 POPULAR;Obra;En ejecución;30/09/2024;120;;;120;27/01/2025;56,00; $ 508.914.965 ;;; $ 508.914.965 ;; $ 7.267.517 ;; $ 516.182.482 ;;;;; $ - ;;0,00%;0,00%; $ - ;0,00%; $ - ;0,00%;0,00%;0,00%;0,00%;JUAN ESTEBAN IDARRAGA;JUAN ESTEBAN IDARRAGA;
SECCION ESCUELA NUEVO HORIZONTE 2;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-247;01 POPULAR;Obra;En ejecución;30/09/2024;120;;;120;27/01/2025;56,00; $ 476.629.836 ;;; $ 476.629.836 ;; $ 6.785.082 ;; $ 483.414.918 ;;;;; $ - ;;0,00%;0,00%; $ - ;0,00%; $ - ;0,00%;0,00%;0,00%;0,00%;JUAN ESTEBAN IDARRAGA;JUAN ESTEBAN IDARRAGA;
INSTITUCION EDUCATIVA FEDERICO CARRASQUILLA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-247;01 POPULAR;Obra;En ejecución;30/09/2024;150;;;150;26/02/2025;86,00; $ 632.555.878 ;;; $ 632.555.878 ;; $ 9.097.060 ;; $ 641.652.938 ;;;;; $ - ;;0,00%;0,00%; $ - ;0,00%; $ - ;0,00%;0,00%;0,00%;0,00%;JUAN ESTEBAN IDARRAGA;JUAN ESTEBAN IDARRAGA;
SECCION ESCUELA AGUSTIN NIETO CABALLERO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-252;08 VILLA HERMOSA;Obra;En ejecución;26/08/2024;60;;;60;24/10/2024;0,00; $ 171.746.211 ;;; $ 171.746.211 ;;;; $ 171.746.211 ;;;;; $ - ;;0,00%;44,00%; $ 25 ;63,00%; $ 108.200.113 ;19,00%;88,64%;84,06%;-4,58%;JUAN ESTEBAN IDARRAGA;ERITH YOJANA HINESTROZA MOSQUERA;
SECCION ESCUELA BATALLON GIRARDOT;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-252;08 VILLA HERMOSA;Obra;En ejecución;26/08/2024;60;;;60;24/10/2024;0,00; $ 214.566.661 ;;; $ 214.566.661 ;;;; $ 214.566.661 ;;;;; $ - ;;0,00%;54,00%; $ 115.865.997 ;90,00%; $ 193.109.995 ;36,00%;83,94%;82,93%;-1,01%;JUAN ESTEBAN IDARRAGA;ERITH YOJANA HINESTROZA MOSQUERA;
SECCION ESCUELA EL PINAL;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-252;08 VILLA HERMOSA;Obra;En ejecución;26/08/2024;60;;;60;24/10/2024;0,00; $ 77.835.173 ;;; $ 77.835.173 ;;;; $ 77.835.173 ;;;;; $ - ;;0,00%;96,00%; $ 74.721.766 ;32,00%; $ 24.907.255 ;-64,00%;80,85%;56,11%;-24,74%;JUAN ESTEBAN IDARRAGA;ERITH YOJANA HINESTROZA MOSQUERA;
SECCION ESCUELA FRANCISCO ANTONIO URIBE;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-252;08 VILLA HERMOSA;Obra;En ejecución;26/08/2024;60;;;60;24/10/2024;0,00; $ 157.549.077 ;;; $ 157.549.077 ;;;; $ 157.549.077 ;;;;; $ - ;;0,00%;100,00%; $ 157.549.077 ;99,00%; $ 155.973.586 ;-1,00%;100,00%;84,11%;-15,89%;JUAN ESTEBAN IDARRAGA;ERITH YOJANA HINESTROZA MOSQUERA;
INSTITUCION EDUCATIVA GABRIEL GARCIA MARQUEZ;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-252;08 VILLA HERMOSA;Obra;En ejecución;26/08/2024;90;;;90;23/11/2024;0,00; $ 332.566.632 ;;; $ 332.566.632 ;;;; $ 332.566.632 ;;;;; $ - ;;0,00%;25,00%; $ 83.141.658 ;25,00%; $ 83.141.658 ;0,00%;40,78%;22,03%;-18,75%;JUAN ESTEBAN IDARRAGA;ERITH YOJANA HINESTROZA MOSQUERA;
SECCION ESCUELA HIPOLITO LONDOÑO MESA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-252;08 VILLA HERMOSA;Obra;En ejecución;26/08/2024;90;;;90;23/11/2024;0,00; $ 310.020.352 ;;; $ 310.020.352 ;;;; $ 310.020.352 ;;;;; $ - ;;0,00%;72,00%; $ 223.214.653 ;59,00%; $ 182.912.008 ;-13,00%;95,90%;68,93%;-26,97%;JUAN ESTEBAN IDARRAGA;ERITH YOJANA HINESTROZA MOSQUERA;
INSTITUCION EDUCATIVA JOAQUIN VALLEJO ARBELAEZ;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-252;08 VILLA HERMOSA;Obra;En ejecución;26/08/2024;90;;;90;23/11/2024;0,00; $ 305.093.233 ;;; $ 305.093.233 ;;;; $ 305.093.233 ;;;;; $ - ;;0,00%;0,00%; $ - ;0,00%; $ - ;0,00%;0,00%;0,00%;0,00%;JUAN ESTEBAN IDARRAGA;ERITH YOJANA HINESTROZA MOSQUERA;
INSTITUCION EDUCATIVA LA SIERRA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-252;08 VILLA HERMOSA;Obra;En ejecución;26/08/2024;150;;;150;22/01/2025;51,00; $ 1.027.867.723 ;;; $ 1.027.867.723 ;;;; $ 1.027.867.723 ;;;;; $ - ;;0,00%;0,00%; $ - ;0,00%; $ - ;0,00%;0,00%;0,00%;0,00%;JUAN ESTEBAN IDARRAGA;ERITH YOJANA HINESTROZA MOSQUERA;
SECCION ESCUELA LAS GOLONDRINAS;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-252;08 VILLA HERMOSA;Obra;En ejecución;26/08/2024;60;;;60;24/10/2024;0,00; $ 233.588.098 ;;; $ 233.588.098 ;;;; $ 233.588.098 ;;;;; $ - ;;0,00%;53,00%; $ 123.801.692 ;14,00%; $ 32.702.334 ;-39,00%;74,37%;16,15%;-58,22%;JUAN ESTEBAN IDARRAGA;ERITH YOJANA HINESTROZA MOSQUERA;
INSTITUCION EDUCATIVA LUIS CARLOS GALAN SARMIENTO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-252;08 VILLA HERMOSA;Obra;En ejecución;26/08/2024;90;;;90;23/11/2024;0,00; $ 361.930.402 ;;; $ 361.930.402 ;;;; $ 361.930.402 ;;;;; $ - ;;0,00%;68,00%; $ 246.112.673 ;21,00%; $ 76.005.384 ;-47,00%;77,31%;38,75%;-38,56%;JUAN ESTEBAN IDARRAGA;ERITH YOJANA HINESTROZA MOSQUERA;
INSTITUCION EDUCATIVA SANTIAGO SANTAMARIA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-252;08 VILLA HERMOSA;Obra;En ejecución;26/08/2024;120;;;120;23/12/2024;21,00; $ 623.228.074 ;;; $ 623.228.074 ;;;; $ 623.228.074 ;;;;; $ - ;;0,00%;43,00%; $ 267.988.072 ;44,00%; $ 274.220.353 ;1,00%;52,21%;41,61%;-10,60%;JUAN ESTEBAN IDARRAGA;ERITH YOJANA HINESTROZA MOSQUERA;
INSTITUCION EDUCATIVA CRISTO REY;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-328;15 GUAYABAL;Obra;En ejecución;12/10/2024;90;;;90;09/01/2025;38,00; $ 373.070.966 ;;; $ 373.070.966 ;;;; $ 373.070.966 ;;;;; $ - ;;0,00%;10,00%; $ 37.307.097 ;10,00%; $ 37.307.097 ;0,00%;5,00%;5,04%;0,04%;DIEGO FERNANDO DURÁN;JUAN CARLOS MONTOYA LÓPEZ;
CENTRO EDUCATIVO QUEBRADA LARGA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-328;80 SAN ANTONIO DE PRADO;Obra;En ejecución;12/10/2024;90;;;90;09/01/2025;38,00; $ 382.758.542 ;;; $ 382.758.542 ;;;; $ 382.758.542 ;;;;; $ - ;;0,00%;10,00%; $ 38.275.854 ;6,00%; $ 22.965.513 ;-4,00%;5,00%;5,04%;0,04%;DIEGO FERNANDO DURÁN;JUAN CARLOS MONTOYA LÓPEZ;
SECCION ESCUELA VENTANITAS;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-328;80 SAN ANTONIO DE PRADO;Obra;En ejecución;12/09/2024;120;;;120;09/01/2025;38,00; $ 415.832.997 ;;; $ 415.832.997 ;;;; $ 415.832.997 ;;;;; $ - ;;0,00%;15,00%; $ 62.374.950 ;17,00%; $ 70.691.609 ;2,00%;5,00%;5,04%;0,04%;DIEGO FERNANDO DURÁN;JUAN CARLOS MONTOYA LÓPEZ;
SECCION ESCUELA LA VERDE;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-328;80 SAN ANTONIO DE PRADO;Obra;En ejecución;12/09/2024;120;;;120;09/01/2025;38,00; $ 549.367.382 ;;; $ 549.367.382 ;;;; $ 549.367.382 ;;;;; $ - ;;0,00%;15,00%; $ 82.405.107 ;17,00%; $ 93.392.455 ;2,00%;5,00%;5,04%;0,04%;DIEGO FERNANDO DURÁN;JUAN CARLOS MONTOYA LÓPEZ;
CENTRO EDUCATIVO EL ASTILLERO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-328;80 SAN ANTONIO DE PRADO;Obra;En ejecución;12/09/2024;120;;;120;09/01/2025;38,00; $ 401.114.319 ;;; $ 401.114.319 ;;;; $ 401.114.319 ;;;;; $ - ;;0,00%;10,00%; $ 40.111.432 ;10,00%; $ 40.111.432 ;0,00%;5,00%;5,04%;0,04%;DIEGO FERNANDO DURÁN;JUAN CARLOS MONTOYA LÓPEZ;
SECCION ESCUELA GUSTAVO RODAS ISAZA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-328;80 SAN ANTONIO DE PRADO;Obra;En ejecución;12/10/2024;90;;;90;09/01/2025;38,00; $ 262.010.968 ;;; $ 262.010.968 ;;;; $ 262.010.968 ;;;;; $ - ;;0,00%;16,00%; $ 41.921.755 ;16,00%; $ 41.921.755 ;0,00%;5,00%;5,04%;0,04%;DIEGO FERNANDO DURÁN;JUAN CARLOS MONTOYA LÓPEZ;
SECCION ESCUELA SAN JOSE;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-328;80 SAN ANTONIO DE PRADO;Obra;En ejecución;12/10/2024;90;;;90;09/01/2025;38,00; $ 224.335.167 ;;; $ 224.335.167 ;;;; $ 224.335.167 ;;;;; $ - ;;0,00%;15,00%; $ 33.650.275 ;14,00%; $ 31.406.923 ;-1,00%;5,00%;5,04%;0,04%;DIEGO FERNANDO DURÁN;JUAN CARLOS MONTOYA LÓPEZ;
SECCION ESCUELA LUIS GUILLERMO ECHEVERRY ABAD;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-328;80 SAN ANTONIO DE PRADO;Obra;En ejecución;12/09/2024;120;;;120;09/01/2025;38,00; $ 489.768.152 ;;; $ 489.768.152 ;;;; $ 489.768.152 ;;;;; $ - ;;0,00%;15,00%; $ 73.465.223 ;18,00%; $ 88.158.267 ;3,00%;5,00%;5,04%;0,04%;DIEGO FERNANDO DURÁN;JUAN CARLOS MONTOYA LÓPEZ;
INSTITUCION EDUCATIVA ANGELA RESTREPO MORENO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-328;80 SAN ANTONIO DE PRADO;Obra;En ejecución;12/09/2024;120;;;120;09/01/2025;38,00; $ 531.401.203 ;;; $ 531.401.203 ;;;; $ 531.401.203 ;;;;; $ - ;;0,00%;15,00%; $ 79.710.180 ;10,00%; $ 53.140.120 ;-5,00%;5,00%;5,04%;0,04%;DIEGO FERNANDO DURÁN;JUAN CARLOS MONTOYA LÓPEZ;
INSTITUCION EDUCATIVA ANTONIO RICAURTE;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-261;16 BELÉN;Obra;En ejecución;26/08/2024;150;;;150;22/01/2025;51,00; $ 829.909.288 ;;; $ 829.909.288 ;; $ 11.930.516 ;; $ 841.839.804 ;;;;; $ - ;;0,00%;46,00%; $ 387.246.310 ;30,00%; $ 252.551.941 ;-16,00%;31,81%;19,29%;-12,52%;JOSE GILMER TAMARA;DAVID ALBERTO HERNÁNDEZ PARRA;
SECCION ESCUELA SAN PABLO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-261;16 BELÉN;Obra;En ejecución;26/08/2024;90;;;90;23/11/2024;0,00; $ 378.421.066 ;;; $ 378.421.066 ;; $ 5.287.352 ;; $ 383.708.418 ;;;;; $ - ;;0,00%;64,00%; $ 245.573.388 ;43,00%; $ 164.994.620 ;-21,00%;64,00%;14,78%;-49,22%;JOSE GILMER TAMARA;DAVID ALBERTO HERNÁNDEZ PARRA;
"INSTITUCION EDUCATIVA RAMON GIRALDO CEBALLOS";ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-261;16 BELÉN;Obra;En ejecución;26/08/2024;90;;;90;23/11/2024;0,00; $ 393.461.238 ;;; $ 393.461.238 ;; $ 5.509.940 ;; $ 398.971.178 ;;;;; $ - ;;0,00%;73,00%; $ 291.248.960 ;43,00%; $ 171.557.607 ;-30,00%;73,00%;48,95%;-24,05%;JOSE GILMER TAMARA;DAVID ALBERTO HERNÁNDEZ PARRA;
INSTITUCION EDUCATIVA YERMO Y PARRES;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-261;16 BELÉN;Obra;En ejecución;26/08/2024;90;;;90;23/11/2024;0,00; $ 392.691.549 ;;; $ 392.691.549 ;; $ 5.498.549 ;; $ 398.190.098 ;;;;; $ - ;;0,00%;74,00%; $ 294.660.673 ;43,00%; $ 171.221.742 ;-31,00%;80,00%;19,61%;-60,39%;JOSE GILMER TAMARA;DAVID ALBERTO HERNÁNDEZ PARRA;
"SECCION ESCUELA ANTONIO JOSE RESTREPO";ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-261;16 BELÉN;Obra;En ejecución;26/08/2024;90;;;90;23/11/2024;0,00; $ 404.602.526 ;;; $ 404.602.526 ;; $ 5.674.827 ;; $ 410.277.353 ;;;;; $ - ;;0,00%;69,00%; $ 283.091.373 ;28,00%; $ 114.877.659 ;-41,00%;43,06%;84,72%;41,66%;JOSE GILMER TAMARA;DAVID ALBERTO HERNÁNDEZ PARRA;
SECCION ESCUELA LAS PLAYAS;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-261;16 BELÉN;Obra;En ejecución;26/08/2024;150;;;150;22/01/2025;51,00; $ 704.362.474 ;;; $ 704.362.474 ;; $ 10.072.477 ;; $ 714.434.951 ;;;;; $ - ;;0,00%;43,00%; $ 307.207.029 ;21,00%; $ 150.031.340 ;-22,00%;32,97%;35,35%;2,38%;JOSE GILMER TAMARA;DAVID ALBERTO HERNÁNDEZ PARRA;
INSTITUCION EDUCATIVA ROSALIA SUAREZ;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-261;16 BELÉN;Obra;En ejecución;26/08/2024;120;;;120;23/12/2024;21,00; $ 634.128.696 ;;; $ 634.128.696 ;; $ 9.050.892 ;; $ 643.179.588 ;;;;; $ - ;;0,00%;47,00%; $ 302.294.406 ;7,00%; $ 45.022.571 ;-40,00%;53,16%;7,61%;-45,55%;JOSE GILMER TAMARA;DAVID ALBERTO HERNÁNDEZ PARRA;
SECCION ESCUELA YERMO Y PARRES;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-261;16 BELÉN;Obra;En ejecución;26/08/2024;120;;;120;23/12/2024;21,00; $ 534.328.048 ;;; $ 534.328.048 ;; $ 7.573.885 ;; $ 541.901.933 ;;;;; $ - ;;0,00%;42,00%; $ 227.598.812 ;16,00%; $ 86.704.309 ;-26,00%;51,15%;16,44%;-34,71%;JOSE GILMER TAMARA;DAVID ALBERTO HERNÁNDEZ PARRA;
I.E Francisco Luis  Hernández Betancur;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-265;04 ARANJUEZ;Obra;En ejecución;04/09/2024;60;;;60;02/11/2024;0,00; $ 370.717.837 ;;; $ 370.717.837 ;;;; $ 370.717.837 ; $ 22.223.055 ;;;; $ 22.223.055 ;31/10/2024;5,99%;23,35%; $ 86.562.615 ;23,35%; $ 86.562.615 ;0,00%;23,35%;23,35%;0,00%;CARLOS MAURICIO SUAREZ MULETT;LAURA VANESA MEDIA CÓRDOBA;
